Geohash,Amenity,Bump,Crossing,Entrance,Give_Way,Junction,Noexit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Circle,Turning_Loop
9v6mn,47,0,2,0,0,2,1,0,0,11,0,0,10,157,0
9v6mm,45,0,0,0,0,0,1,0,0,0,0,0,42,314,0
9vg7s,3,0,0,0,0,0,3,0,0,0,0,0,1,12,0
9vg7t,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
9vg7u,0,0,1,0,0,0,0,1,0,0,0,0,0,11,0
9vg7v,1,0,0,0,0,0,0,0,0,0,0,0,7,22,0
9v6mh,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
9v6mg,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
9v6e4,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0
9v6me,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
9vg7b,11,0,11,0,0,0,0,13,0,0,4,0,28,92,0
9vg7c,39,0,102,1,0,0,0,8,0,0,0,0,6,108,0
9vg7d,14,0,59,3,0,0,0,7,0,0,0,0,17,76,0
9vg7e,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0
9vg7f,19,0,13,1,0,0,0,9,0,0,0,0,9,72,0
9vg7g,33,0,19,0,0,0,2,19,0,0,0,0,24,51,0
9vg7h,15,0,3,0,0,3,0,3,0,0,0,0,27,57,0
9v6mk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9vg7j,11,0,0,0,0,3,1,0,0,0,0,0,16,66,0
9vg7k,7,0,0,0,0,0,0,0,0,0,1,0,21,75,0
9v6ms,3,0,0,0,0,0,0,0,0,0,0,0,6,89,0
9vg7m,24,0,7,0,0,3,3,7,0,0,1,0,12,39,0
9v6mq,63,0,8,9,0,8,0,5,0,22,0,0,99,110,0
9v6mj,10,0,0,0,0,0,0,0,0,0,0,0,7,69,0
9v7gp,29,0,3,0,0,3,0,0,0,0,0,0,18,20,0
9v7gr,8,0,6,1,0,0,0,2,0,0,0,0,7,37,0
9q5fc,34,11,15,2,0,8,13,12,0,0,21,12,26,81,0
9q5fd,35,2,15,0,25,12,8,38,0,30,51,2,67,65,0
9q5fe,43,3,15,1,0,5,5,5,0,3,35,3,35,49,0
9q5ff,15,19,3,0,0,4,6,0,0,4,25,19,23,46,0
9q5fg,26,27,2,5,0,3,43,0,1,3,538,27,16,54,0
9q5fh,189,6,19,2,0,16,8,16,1,9,25,6,104,25,0
9q5fj,120,2,16,0,0,21,3,12,3,8,29,2,133,64,0
9q5fk,64,0,39,2,0,22,5,26,0,1,30,0,83,30,0
9v6mr,9,0,6,0,0,5,0,4,0,0,8,0,44,130,0
9q5fm,85,14,0,7,0,13,6,0,1,2,34,14,108,116,0
9q5fn,107,3,40,0,0,15,0,39,1,5,15,3,75,91,0
9q5fp,226,24,70,16,0,8,6,51,0,50,29,24,150,74,0
9q5fq,26,0,0,0,0,2,7,0,0,9,25,0,3,84,0
9q5fr,205,2,43,5,0,20,13,9,0,47,44,2,137,41,0
9q5fs,14,0,0,0,0,2,0,0,0,0,14,0,1,17,0
9q5ft,118,4,6,0,0,9,8,0,0,54,9,4,51,99,0
9q5fu,39,26,1,0,0,2,6,0,0,4,416,26,14,61,0
9q5fw,62,18,99,6,0,7,6,6,0,5,46,18,52,92,0
9q5fx,23,10,18,4,0,0,30,0,0,13,20,10,7,75,0
9q5fy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9v7gj,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0
9vk77,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9vk70,20,4,52,0,0,3,4,8,0,0,4,4,16,124,0
9vk71,31,7,142,3,0,0,4,0,0,0,6,7,36,174,0
9vk72,33,3,30,0,2,5,0,0,0,0,0,4,16,61,0
9vk73,23,1,10,0,0,2,7,6,0,0,0,1,10,10,0
9vg70,16,1,60,0,0,0,1,59,0,1,2,1,82,12,0
9vg71,25,1,32,0,0,0,0,10,0,0,1,1,100,64,0
9vg72,5,0,15,4,0,0,0,13,0,0,7,0,80,72,0
9vg73,29,0,28,0,0,5,1,14,0,1,6,0,84,64,0
9vg74,17,0,15,0,0,4,0,20,0,1,0,0,35,59,0
9vg75,8,0,4,0,0,2,1,4,0,0,0,0,18,68,0
9vg76,3,0,28,4,0,4,0,0,0,0,0,0,19,28,0
9vg77,6,0,0,0,0,0,0,0,0,0,0,0,16,65,0
9vg78,26,0,4,1,0,7,0,0,0,0,4,0,68,87,0
9vg79,25,0,11,0,0,0,0,7,0,0,1,0,21,117,0
9vhrc,22,0,0,0,0,0,0,0,0,0,0,0,19,68,0
9vhrf,4,0,1,0,0,0,1,0,0,0,0,0,3,128,0
9vhrg,25,0,2,0,0,8,0,2,0,0,0,0,24,50,0
9vhry,6,0,0,0,0,0,0,0,0,0,0,0,0,30,0
9v6m7,1,0,0,0,0,0,0,0,0,1,0,0,0,14,0
9v6m6,5,0,0,0,0,1,0,0,1,1,0,0,0,33,0
9v6m5,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0
9vhru,31,0,4,0,0,0,3,4,0,0,0,0,0,107,0
9vhrv,10,0,4,0,0,1,0,0,1,0,0,0,4,197,0
9vk7h,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
9qh42,92,5,10,2,0,7,2,10,0,36,17,5,85,41,0
9qh41,101,16,25,1,0,0,21,0,0,70,39,16,72,100,0
9qh40,96,5,8,0,0,1,4,0,1,63,24,5,72,103,0
9v6mp,61,1,14,0,0,6,6,0,0,13,2,1,30,201,0
9qh48,6,0,4,0,0,0,3,0,0,0,2,0,0,10,0
