Geohash,vec
9v6mn,-0.13303653089737413 -0.10219229130150922 0.1673324174656673 -0.001133779210584099 -0.03797925681738006 -0.1818569333493177 0.012093769440582065 0.5377295675304692 -0.1406040266754815 -0.1728786573381277 0.32731836813343873 0.17149212762503835 0.1392794334114862 0.10754706531312834 0.27064369447148556 -0.16047672226758236 0.30173869360878486 -0.16124066197389533 -0.3306400107897931 0.11125926930756865 0.36944625300471656 0.01418132287400593 0.37324747711083783 0.1524599616581456 0.25779690171163966 0.05607782471272764 -0.08091260486230185 -0.047160889363681124 0.025869278441824156 0.12945403983651022 -0.3677896370361747 0.3502356333932157 0.16691669096711334 0.09309611517050567 -0.22438598916653352 0.08140685351408586 -0.202113046045815 0.15803265904610114 0.17594493158569383 0.14001699660384115 -0.24358461215335528 -0.29640334747042263 -0.15629704222087515 -0.21443348808592796 0.21039242630785218 0.0525058165651705 0.006188533010918452 -0.19545103360959573 0.012077338612217168 -0.2259263771861776 0.06741252742669546 -0.10831175709771468 -0.02132976647545617 0.593673029987719 -0.27752343546601893 -1.7763592063899851 -0.32626527564966346 -0.19272675564158484 1.0307428658653575 0.25017364542131154 -0.24998932060419923 0.3455846034579093 0.10783245957145314 0.27841842341531814 0.20274225515705807 -0.10934788524577381 0.24854547886894973 -0.02656940017052545 0.022209298239142583 0.09716571006242765 -0.30750496619993983 0.0659640788521116 -0.0015697291967118466 -0.32949390176242604 0.28284033075378395 -0.04913273593643434 0.4200382434409359 0.16754845390220666 -0.4170524172758642 -0.17850361359867814 0.31528816000527504 0.11858046800733514 -0.18200503758864714 0.12927668253090324 -0.522151532722914 -0.15341063517678777 -0.09588769215980138 -0.21532270900713568 -0.037313713674657314 0.05579015434602452 -0.24896328847868426 0.012050371982886682 -0.21511838279282555 0.42934993280114264 -0.3324772340423409 0.13641841004317556 0.09860389111630151 -0.029123096696186367 0.5774973688065279 -0.047031969897319365
9v6s0,-0.0771700960469564 -0.07651309154259732 0.2829568117638279 0.0746283032415379 0.05156477898946907 0.03054503125515985 -0.035926747382498465 0.39957125050857883 -0.34267295181602186 -0.03665615744742525 0.4001528638830207 0.07305954208468785 0.11526125528413939 0.011121204837609814 0.3299339186697999 -0.33477120696638024 0.06764154046253784 -0.041241803485389944 -0.2918896722798849 0.16570936821539406 0.36140596734908087 0.017236860795188057 0.37682853165559604 0.14231968950087226 0.28036878907385854 -0.10417656182197062 -0.040115880608327804 -0.15885760680396396 0.12360533044784494 -0.03777442314070167 -0.3157180817151623 0.28716351486487457 0.07722257585376317 0.1448681991507714 -0.2143578964417693 0.15515473239304137 -1.903570519139612e-05 0.1393675372485325 0.04065177502596552 0.3193079793680997 -0.2606441311277553 -0.4183387555491692 0.0048503082590005565 -0.12649414066915177 0.16564782812765025 0.045015157432639875 0.1595684475992172 -0.40217717529496977 0.10625993704190712 -0.1848614429900438 0.10009871858072285 -0.10051580084702127 -0.09593807155128134 0.7129787555164715 -0.27635845309946594 -1.8044662571994583 -0.20385654040782336 -0.134528865690578 1.1221968524841661 0.24339652363291375 -0.37664357473446397 0.356062089303979 -0.02801982812792948 0.17061200345163205 0.049590363305469856 0.003951704693513157 0.04560839671709558 -0.05188761812755353 0.19398613591687688 0.050308968990992776 -0.33737848812993965 -0.15858442684138047 0.012099719547669799 -0.2452892300623084 0.3224579039470133 -0.050267442068290924 0.24249917663757375 0.09509310999282759 -0.3519996563353445 -0.1697899152218687 0.3732805627220612 0.08117544919936251 -0.239419300062195 0.18475214095287681 -0.7830260645183192 -0.08947164267255346 -0.04729327879899656 -0.22325186046353396 0.10171735573662165 -0.0031104254581616948 -0.18438928720708994 0.127117419833506 -0.3423290378681972 0.32330739041785156 -0.5276281366860659 0.08882380586962817 0.10547575054233863 -0.036810343519222875 0.606397757504591 -0.10677785675458983
9vg7s,-0.027401035633586767 -0.10127150584233693 0.22095358330598908 0.10598860573362678 -0.023161082125250098 0.0095572301253835 -0.09284299267173536 0.44198975769507803 -0.2869376918500734 -0.06300550907429638 0.34633094023609445 0.12232773195945043 0.1651570029678538 -0.02766515806322529 0.2826411007202881 -0.31027631165132724 0.12280330823756169 -0.040896656601974134 -0.256955523035881 0.20657179171001736 0.44020314312658393 0.02292576701347205 0.3670005524276377 0.11829360139522478 0.25101382181539283 -0.09835476619981323 -0.06218324024943311 -0.17572118530745628 0.17561885744964653 0.05149703954248366 -0.2876999830532213 0.18502655300120047 0.030999779445111373 0.14023513610777644 -0.23335847061491272 0.18662833610110713 0.08087553815526208 0.06677717701747364 0.010543397919167684 0.25624479543150597 -0.2988521605068694 -0.44276216410230756 -0.04307717079498465 -0.1991294214819261 0.16755805839535814 0.052360016733360014 0.250433833827531 -0.35594948822328937 0.13275788609503802 -0.3787550489729225 0.10857636708350009 -0.2028588973636121 0.04559287764439107 0.7800430981192478 -0.21424076359076963 -1.8242057048419367 -0.19468260033753498 -0.16305293434040283 1.310082809250367 0.3391330591703348 -0.36442821434773914 0.357403887595038 -0.05875477445644924 0.2554227103014539 0.13060570548219289 0.011232053477390955 0.04764507243564094 0.006955411864745895 0.20543913260637586 0.022735409796585292 -0.38442204189675877 -0.18010692641056422 0.0037182046585300804 -0.1686973090169401 0.27626306934373746 0.02706422578831533 0.22546679073629453 0.16169663846872082 -0.4324499002267574 -0.11328424691143124 0.3983062420968388 0.11665353119514474 -0.292340005902361 0.16279561012538352 -0.8252555950073363 -0.07312055058956915 0.0005813358036547839 -0.218752210370815 -0.011763121975456833 0.03453463822195544 -0.1672154076410564 0.11903401147792454 -0.3471593023676137 0.32859000577564357 -0.5225796863345339 0.09595225051353874 0.12661931943444044 0.0031240777377617665 0.6007785832733094 -0.16985472649059627
9v6mk,-0.31641274708513706 0.059567975288600264 0.16033878376623376 0.08088691825396825 -0.039657884126984115 -0.2050426223665224 0.07186814754689755 0.552774835930736 -0.09833777723665224 -0.2639203177489177 0.36971674455266956 0.31364306457431457 0.2033668390692641 0.10986315591630591 0.34373719992784985 0.028264268037518043 0.4315476216450217 -0.347849993939394 -0.34315571616161616 0.2076827397907648 0.36985439772727274 0.06149113304473304 0.2873493536796537 0.2796382346536797 0.14081084844877342 0.18246270685425686 -0.13486407936507933 -0.004809782539682547 0.05804587983405484 0.029103307539682537 -0.31192435386002887 0.38394890699855694 0.07379019862914862 0.03496817813852813 -0.14878214123376624 0.1484999523809524 -0.22436696576479082 0.19565008961038963 0.2667358919191919 0.05115528239538241 -0.10718007207070708 -0.41314355988455986 -0.20066542698412698 -0.3183865788239538 0.13511769336940838 0.1256086667027417 -0.1411195869408369 -0.05102597716810966 -0.07397201144516595 -0.24940948538961033 -0.06361500829725829 -0.09236671085858587 -0.06470890757575758 0.7546370768037518 -0.3987002764069264 -1.7900220638528137 -0.2852704533910534 -0.15704659044011546 0.9461942261904762 0.2566550367965368 -0.3224015790836941 0.4813023462481962 0.09030818232323233 0.35407032417027423 0.27761020616883114 -0.10092253784271289 0.19334564682539684 -0.16457943780663783 0.07642898747871574 0.07713165324675327 -0.27200466666666673 0.0006001798340548355 -0.06066712669552669 -0.33106518694083686 0.16930769859307357 -0.008498703246753234 0.44384958982683986 0.1465454725829726 -0.4716630362554112 -0.19237920301587302 0.3254700421356421 0.0537301168109668 -0.16357033082251085 0.17385390808080808 -0.3270393874747475 -0.09075672546897547 -0.17996162727272727 -0.07851122395382396 0.09447029007936507 0.1401236937950938 -0.271552782034632 -0.03852873502886002 -0.3385986362193362 0.5526725450216451 -0.3486401093795094 0.09160808715728717 -0.044192279797979815 -0.1364134318181818 0.5606806357142857 0.019755808080808075
9vg7u,-0.07579857407523162 -0.12224778610031284 0.3800840239987786 0.026357527042566224 0.09016695817615374 0.07023689486454034 -0.01676627400886094 0.4748863518818621 -0.4514961265301392 0.07532468565589744 0.3930979666106723 0.0197741150085257 0.08436813438019154 -0.08563604312760684 0.3809116892831404 -0.367054154382896 -0.009722724580666744 0.02337369975646352 -0.2102393412902182 0.2431175109398931 0.5039023158312544 0.19608127754828528 0.30354658633778653 0.16827830815489633 0.26987263636617337 -0.05750340779867881 0.025609030211037682 -0.2394888499307546 0.09819868491118132 -0.09286050254128568 -0.21160229716869577 0.29802538747769775 -0.07132043447655802 0.08212489641745939 -0.24484907692121138 0.1524652924701786 0.15691624129672613 0.05382823543441712 0.049265726672046116 0.5300115899839196 -0.3818070237700141 -0.5312990125852077 0.09111302459772942 -0.06598775731025543 0.19669759306995727 -0.021558038283141876 0.32120002088045846 -0.6397649347904453 0.05687454855216518 -0.2652484564605283 0.06717066818278127 -0.23021089600048997 -0.0727333675127796 0.9007193779700683 -0.10956712859755723 -1.81236573761386 -0.12527513100657012 -0.13713685599767453 1.4087403014541444 0.4340416378942696 -0.3370629456735869 0.32893194483269866 -0.035168760307580024 0.18169975187548876 0.13804913693100582 0.18292533708350178 0.030954247911549587 -0.11224260696535664 0.3028376024239508 -0.013115675354320776 -0.292419913179124 -0.17700498733288555 0.08204698089757954 7.952496228797183e-05 0.3971361141786856 0.13947645417263688 0.12553305708780385 0.044223897075764275 -0.4167227636290179 -0.16164926656614903 0.5634619825770274 0.07646039203747511 -0.37864572311946504 0.12945003635772256 -0.9388166407811906 -0.01782601719082001 0.0782739987966206 -0.2945260819555805 -0.019764388354799125 0.027822482611529337 -0.09652769123698678 0.2296955651254164 -0.4628142191146323 0.12910437163226177 -0.6330023287642425 0.11730526371985514 0.04707952111464209 -0.018692268533533552 0.7395481140378388 -0.16025778706694663
9vg7v,-0.06279699033446233 -0.08745470212936288 0.3792268366373506 0.07168784081588056 0.019921190020669454 0.05116826419636079 -0.03245888779904641 0.3877040155096768 -0.4684412728086043 0.043925338214267605 0.4875215201565695 0.03774978934573874 0.13993600405333464 -0.026679479724397628 0.43186243442485917 -0.40258564807240504 -0.10146772121862789 -0.03768232304769507 -0.24767683781004343 0.23634189998919564 0.4874131177364292 0.10760841039237612 0.34628848928842937 0.12413515951336968 0.38721840003482505 -0.06049245157562336 0.010053101230995861 -0.179677177968059 0.09972655233111921 -0.07974726805380843 -0.2685998008716465 0.3308664024913663 -0.044878748054062466 0.01808479334544148 -0.21765136342807218 0.18313963435248606 0.19271242633317837 0.09818812162702252 0.0019418199375131424 0.4630731322537017 -0.3714814444170524 -0.5623145115279585 0.06652451012464797 -0.09307547693379314 0.1549151385772045 -0.049992111769084864 0.22755099450121136 -0.6863186543759646 0.11989244144360742 -0.28138279981277886 0.058040887312310774 -0.204123739681809 -0.1260525916780333 1.0015408706642406 -0.08690836582664047 -1.832569680597585 -0.10699426484388246 -0.134878105195063 1.394716231942295 0.45228466018406166 -0.29647429469350717 0.39303396687836345 -0.09183782987203654 0.18707282001812026 0.19958238459310437 0.1848542421285586 0.012519159283906456 -0.08901505936189803 0.3982160616116954 -0.06400320524102301 -0.24576238277652732 -0.19429058802630644 0.0658939984164133 -0.07615083896274778 0.38995193064994765 0.16259219664017574 0.09689139549080726 -0.01250945537478037 -0.4447633913352048 -0.14815370136979783 0.566060064771086 0.05092564723973582 -0.36982347374261576 0.11777411302637186 -0.9528653967891171 -0.04398419945840826 0.08114803067708694 -0.19943103075927363 0.04996214008017761 -0.045440432197278516 -0.12724371875968737 0.23486567099138803 -0.46243692033448275 0.08090855878119989 -0.5853471189974054 0.09662825664874959 0.031573859889459405 -0.04983773110896601 0.7439702623983337 -0.11996989186768299
9v6mh,-0.25430606976571674 -0.03939996836934997 0.38167048914535745 0.11067687749143398 -0.03356658302530801 -0.14431822572188044 -0.05213993662920413 0.5953291354018059 -0.15019564536757105 -0.09275791335906784 0.20184075676671284 0.31588029379779575 0.16588050463330534 0.08949361947236972 0.2781987415688843 -0.04439672822491836 0.46450110257052896 -0.2398845589266362 -0.3729118651761981 0.1275997658221895 0.44693946235329 0.0610059447852586 0.27542723981325695 0.14458437148415915 0.2501426837372423 0.14434918806332553 -0.07498829056141228 0.027199221070596063 0.022822041056239098 0.1139799521450041 -0.2076695343340869 0.1590409234907636 0.1850716953331026 0.18653213992425705 -0.15758892801353616 0.03478025964012596 -0.24420976841798556 0.2744543902836929 0.2520931173027995 -0.03342017650164163 -0.28714490768223 -0.2368011188887136 -0.14062525229105688 -0.1518169365929392 0.06144011280009465 0.045176765882794095 0.044977827842625225 0.0872490845541155 -0.1878214210653053 -0.2694897998379982 -0.0013250691143651622 -0.09318430974290332 0.08929238767825741 0.7067598239741985 -0.3383430416709752 -1.8647831744958254 -0.1635785678320948 -0.12095643343533659 1.0609730090180056 0.2141857457349668 -0.21821974670329675 0.5755695788061354 0.05992613159424638 0.3025957697383026 0.17908196269498047 -0.12066880294369373 0.25299547301769876 -0.022792115334300197 0.013454224232930809 -0.03510192509727113 -0.25968410405113895 -0.15020826196464354 0.07741470540256527 -0.42126424842116944 0.058114224894184746 -0.06561086396101706 0.4583535926949513 0.2595982624172611 -0.43291732949506634 -0.10559617857106346 0.4151414371974517 0.2099187579970468 -0.17344818609611884 0.12779888324679706 -0.4497306871766391 -0.11729243008782153 -0.017350232039962967 -0.09555818389607469 -0.023911225486209678 0.14837147483298863 -0.17018410295556052 0.052469798873860045 -0.25243753673824715 0.5713833526212968 -0.25193893397083916 0.10534287480498304 -0.13183214623072834 -0.05902796939354506 0.5847430985970099 0.001475645101243776
9v6mg,-0.2938155318288655 0.06617657273601396 0.33093713666472413 0.10846810153855868 -0.06061408603350815 -0.006785455886752135 0.010491136625874132 0.5304627644133644 -0.18642637511752136 -0.16886266051670554 0.24316615328088576 0.24178989372960377 0.2562419487451438 -0.0007402831983294392 0.24301675669871797 0.06273743633527583 0.35961576216588964 -0.24816276723387717 -0.2865190552981741 0.10270537867948722 0.3658527811829836 0.05376199770784771 0.3343705193599456 0.241304819100136 0.18136150605477858 0.06217277413267288 -0.017533039867909862 -0.05423376652874905 0.01280932949883451 0.09333739325951826 -0.3624754616520979 0.14554942198912196 0.1895747876437452 0.03234026582167832 -0.09927544875058276 0.10414095087781663 -0.3043841526651126 0.232004149531857 0.29804058861888116 -0.05178725804390054 -0.12357383860722611 -0.19762064968628595 -0.1518345548135198 -0.24746646641686096 0.19342864144959207 0.05303491524864025 -0.15478975813908316 0.019696465545066044 -0.12415851207364026 -0.2819862096547202 -0.05104324999592075 -0.12846254560217557 0.07309954730963483 0.6001249871386947 -0.3327053313603342 -1.6781737709751359 -0.15782061372338774 -0.06385378975233101 0.838195174419192 0.21929702816219893 -0.252872683517871 0.506124979132673 0.009840211839549333 0.2015217120044678 0.22630598924825174 -0.09451558186043123 0.22316321635780892 0.0018628375553613036 0.07509070109459985 0.004915320728438233 -0.23773341666608397 -0.16248055670163172 -0.04469451632090131 -0.3062646971833722 0.07584906437160063 -0.038041787437645684 0.30486579163752914 0.13369150363927737 -0.40377100136946387 -0.14946067784576536 0.41885103604312357 0.1296810713927739 -0.1732232063174048 0.14737047807303807 -0.4345052704895106 -0.1437804904594017 -0.15611212529526033 -0.09019968713383839 0.03957919289432791 0.17409369313616943 -0.24053815339063708 0.12598280924630925 -0.1270948449747475 0.5261036741724942 -0.3359347476971639 0.07660844544677545 -0.08106445968201245 -0.05685076518113831 0.4797378132158118 0.0012445025359362808
9v6e4,-0.09319903317307693 -0.08050022674996571 0.2629089275469629 0.07763914768785136 0.00574143703722748 0.031830430806938155 -0.04058558691553545 0.4457854267619636 -0.2024643066416427 -0.09773364965549158 0.2373291082030714 0.05009755582493486 0.07722784448272316 0.023271510746606328 0.3068222807143837 -0.1477805981934732 0.12906749719251334 -0.10162303816759222 -0.229341693130399 0.10900850757318663 0.29811154540484025 0.016869253772453036 0.42339301827094483 0.2641490458410462 0.15505223035102153 0.005699014731591938 0.009904538195872751 -0.10739016006787332 -0.0196449202660085 -0.05957790052961744 -0.321197174011038 0.19277213229295212 0.034593645327711496 0.16632844139071712 -0.14392240940456605 0.0696255813622652 -0.03371579302927467 0.11702240532017004 0.10388419763814616 0.22772648460852876 -0.24191094461298504 -0.34061589532771147 -0.1625958526240916 -0.19849928201700262 0.11706903434714794 0.0865885342451666 0.0083602087618264 -0.29366635669477575 0.009795256165672566 -0.2810521986022556 -0.043868110551213486 -0.08175853129713426 -0.09699704762272043 0.6124331339435075 -0.16489072135095298 -1.6537430454039834 -0.15206812352701218 -0.16200179580590976 0.9078467504284932 0.2554493845125463 -0.26694225554984236 0.42684054604929383 -0.04162276282051283 0.15515497831310845 0.2183667259084053 0.003689427269299328 0.13300694493006993 0.01536363998354586 0.2941377886243658 -0.022378075740436033 -0.18209205217331692 -0.11053911868058414 -0.005479295572809541 -0.3125735652166461 0.16433636281022898 -0.06652853293569176 0.215259377845194 0.1326637192993281 -0.4279226698717949 -0.03874647384649663 0.5296319211744138 0.03769700479912245 -0.28390402072192517 0.1891341079339778 -0.5411863842263128 -0.04869064243966817 -0.1484761559594817 -0.15670865186651584 -0.059941008724118984 0.026444363027903484 -0.14870830274406968 0.08516067012889071 -0.239002717821884 0.2964327269470725 -0.4227158850353079 0.19284809220314 -0.02195398136055121 -0.041473786396201834 0.5433033119103936 -0.030103366858631575
9vg57,-0.03811355310480262 -0.08109822734772137 0.32958818823882813 0.04535729366855948 0.008994120241049083 0.04656340635061728 -0.0258779741976341 0.3361558090966309 -0.34688635764930875 -0.03011754657288603 0.42836218271777204 0.08092940260720113 0.09291909802013362 -0.013303710306904743 0.34424571833295464 -0.30747142298102476 0.005297018167321334 -0.0014663035139247731 -0.21736298829203565 0.15343258773488017 0.4028037960624343 0.06647799570805078 0.2303132059441922 0.05597561892288024 0.3425510067714489 0.004403328876005611 -0.046166980723620424 -0.1240591200750281 0.10356223636366635 -0.07366458255449718 -0.19591847403238613 0.3545195237484285 0.03483753480173057 0.10423467873904425 -0.19760252440109446 0.17625981474525346 0.15049432830602177 0.13877631667331486 0.026412422934684755 0.37591324272389043 -0.2678973835678376 -0.46015143702402583 -0.0011484049653563914 -0.10011375958786686 0.10970927889323591 0.016616827407162717 0.1763342588099277 -0.4887049203819952 0.10143052255942589 -0.2687983259549513 0.047815483612675985 -0.11254859496311918 -0.05508380691615196 0.7611171088272666 -0.06670557524659876 -1.638568212533224 -0.0992950178930609 -0.11622620420220064 1.185069727670839 0.3399203340291861 -0.2722156444947943 0.3619159829412523 -0.01813706279894644 0.1649231155436682 0.13643190311988046 0.10700752669558256 0.0803617893947092 -0.048638241327050004 0.22868580783662468 0.01444170752145145 -0.2979773871402142 -0.13388978275653707 0.08687243196563865 -0.15091471519788074 0.2800254319400474 0.04692444765169894 0.18694077541633203 0.04010904941752861 -0.36006799518201926 -0.19443203569145506 0.39384123490948947 0.07228497309978947 -0.28528909074725317 0.11657917700596324 -0.7778894586931745 -0.03386534045893296 0.040084230177049936 -0.16379930881475432 0.035006565325122314 -0.023298164479472343 -0.13408260162227947 0.21915064617079918 -0.3676653778014781 0.100818748713216 -0.4886573945073003 0.076960430130012 0.04934145788361719 -0.02850798285948494 0.58641115449493 -0.05414582197111266
